식품군,식품명,에너지,단백질,지방 ,탄수화물,당류
,,kcal,g,g,g,g
견과류 및 종실류,"피칸, 조미, 볶은것",710,9.5,74.27,13.55,4.06
견과류 및 종실류,"해바라기씨, 말린것",589,21.93,52.26,18.58,2.68
견과류 및 종실류,"해바라기씨, 볶은것",582,19.33,49.8,24.07,2.73
견과류 및 종실류,"해바라기씨, 조미, 볶은것",587,20.1,56.3,17.2,-1.4
견과류 및 종실류,"호두, 말린것",688,15.47,71.99,7.92,0
견과류 및 종실류,"호두, 볶은것",713,14.6,68.8,11.7,2.5
견과류 및 종실류,"호박씨, 말린것",548,35.35,48.18,5.34,0
견과류 및 종실류,"호박씨, 조미, 볶은것",590,26.5,51.8,12,-1.3
채소류,"가시오갈피, 순, 생것",76,5.67,0.7,15.87,2.48
채소류,"가시오갈피, 순, 데친것",63,5.25,0.85,11.99,2.07
채소류,"가지, 생것",19,1.13,0.03,4.36,2.32
채소류,"가지, 데친것",19,1,0.1,4.4,1.94
채소류,"가지, 말린것",290,14.53,2.4,65.59,18.13
채소류,"가지, 염절임",22,1.4,0.1,5.2,-
채소류,"갓, 생것",36,3.5,0.2,7.3,-
채소류,"갓, 돌산갓, 생것",24,2.66,0.28,4.22,1.99
채소류,"개비름, 생것",23,2.72,0.29,3.96,0.31
채소류,"개비름, 데친것",27,2.98,0.41,4.51,0.27
채소류,"갯기름나물, 생것",47,3.71,0.41,9.67,0
채소류,"갯기름나물, 노지, 생것",41,3.94,0.32,7.91,0
채소류,"갯기름나물, 노지, 어린잎, 생것",53,4.17,0.52,10.92,0
채소류,"갯기름나물, 하우스, 생것",50,3.12,0.44,10.75,0
채소류,"갯기름나물, 하우스, 어린잎, 생것",44,3.59,0.36,9.09,0
채소류,"갯기름나물, 데친것",49,3.86,0.71,9.39,0
채소류,"갯기름나물, 노지, 데친것",44,3.62,0.57,8.56,0
채소류,"갯기름나물, 노지, 어린잎, 데친것",53,4.11,0.8,10.15,0
채소류,"갯기름나물, 하우스, 데친것",52,3.41,0.79,10.25,0
채소류,"갯기름나물, 하우스, 어린잎, 데친것",47,4.28,0.69,8.61,0
채소류,"갯나물, 세발나물, 생것",18,1.61,0.14,3.59,0
채소류,"갯나물, 세발나물, 데친것",23,2.29,0.28,4.2,0
채소류,"갯나물, 칠면초, 생것",27,2.7,0.3,5,-
채소류,"갯나물, 퉁퉁마디(함초), 노지, 생것",19,1.4,0.15,3.97,0
채소류,"갯나물, 퉁퉁마디(함초), 하우스, 생것",19,1.34,0.15,4.13,0
채소류,"갯나물, 퉁퉁마디(함초), 환",262,9.28,6.14,52.6,0.94
채소류,"게걸무, 생것",57,2.84,0.2,12.43,3.24
채소류,"게걸무, 잎, 생것",32,2.08,0.25,6.95,1.63
채소류,"겨자, 녹색, 생것",24,3.03,0.17,4.19,0
채소류,"겨자, 적색, 생것",24,3.54,0.27,3.57,0
채소류,"경수채, 어린잎, 생것",26,1.68,0.24,5.57,2.1
채소류,"고구마, 잎, 생것",47,3.92,0.44,7.34,0
채소류,"고구마, 잎, 데친것",41,3.44,0.62,5.8,0
채소류,"고구마, 줄기, 생것",18,0.76,0.02,3.63,0
채소류,"고구마, 줄기, 데친것",17,0.59,0.05,3.64,0
채소류,"고구마, 줄기, 삶은것",14,0.45,0.05,2.88,0
채소류,"고구마, 줄기, 말린것",332,6.07,0.47,75.53,17.11
채소류,"고구마, 줄기, 삶아서 말린것, 삶은것",23,0.48,0.11,4.96,0
채소류,"고구마, 줄기, 껍질 포함, 생것",23,0.88,0.03,4.96,1.52
채소류,"고구마, 줄기, 껍질 포함, 데친것",22,0.74,0.06,4.65,0.33
채소류,"고구마, 줄기, 껍질 포함, 삶아서 말린것, 삶은것",33,0.52,0.06,7.51,0
채소류,"고들빼기, 생것",29,1.6,0.5,5.8,-
채소류,"고들빼기, 이고들빼기, 생것",39,2.5,0.4,8.2,-
채소류,"고려엉겅퀴(곤드레), 재래종, 잎, 생것",28,2.99,0.52,4.67,0.35
채소류,"고려엉겅퀴(곤드레), 말린것",290,28.72,5.01,49.84,1.76
채소류,"고려엉겅퀴(곤드레), 말린것, 삶은것",40,3.8,0.92,6.32,0
채소류,"고비, 야생, 생것",28,1.72,0.13,6.41,2.09
채소류,"고비, 야생, 삶은것",25,1.58,0.16,5.43,0
채소류,"고비, 야생, 말린것, 삶은것",31,1.68,0.26,6.84,0
채소류,"고비, 야생, 삶아서 말린것",299,17.95,1.7,67.51,7.61
채소류,"고비, 재배, 생것",28,2.1,0.1,6.2,-
채소류,"고사리, 생것",22,2.9,0.17,3.8,0.2
채소류,"고사리, 데친것",21,2.74,0.24,3.55,0.43
채소류,"고사리, 말린것",261,25.8,0.6,54.2,-
채소류,"고사리, 삶아서 말린것",273,27.85,2.11,56.58,0
채소류,"고수(향채), 생것",25,2.43,0.31,4.53,0.7
채소류,"고추, 싹, 생것",21,2.6,0.1,3.8,-
채소류,"고추, 빨간색, 생것",85,3.12,2.73,15.34,5.48
채소류,"고추, 빨간색, 녹광, 생것",41,2.3,1.3,6.9,-
채소류,"고추, 빨간색, 수비초, 생것",77,3.7,1.8,14.8,-
채소류,"고추, 빨간색, 말린것",312,13.88,8.71,57.47,-
채소류,"고추, 연두색, 시레나, 생것",19,1,0.1,4.4,-
채소류,"고추, 초록색, 녹광, 생것",27,1.4,0.8,4.6,-
채소류,"고추, 초록색, 시레나, 생것",23,1.1,0.1,5.4,-
채소류,"고추, 풋고추, 생것",29,1.71,0.19,6.42,1.8
채소류,"고추, 풋고추, 재래종, 생것",26,1.2,0.2,6,-
채소류,"고추, 꽈리고추, 생것",33,1.83,0.13,7.78,1.98
채소류,"고추, 오이고추, 생것",23,0.99,0.12,5.51,0.76
채소류,"고추, 청양고추, 생것",31,1.53,0.3,7.01,0.34
채소류,고추장아찌,124,2.39,0.63,31.49,11.38
채소류,"고춧잎, 생것",45,5.07,0.32,8.49,0
채소류,"고춧잎, 데친것",51,5.16,0.85,8.9,0
채소류,"고춧잎, 말린것",266,35.43,5.3,37.8,0
채소류,"고춧잎, 삶아서 말린것, 삶은것",41,4.41,0.76,6.66,0
채소류,"고추냉이, 뿌리, 생것",103,2.9,0.5,23.7,-
채소류,"고추냉이, 잎줄기, 생것",27,1.93,0.41,5.35,1.06
채소류,"곤달비, 생것",42,1.8,0.5,9.4,-
채소류,"곤달비, 데친것",35,1.8,0.5,7.4,-
채소류,"공심채, 생것",26,1.67,0.25,5.57,0.66
채소류,"공심채, 데친것",26,1.69,0.34,5.36,0.38
채소류,"꾸지뽕, 잎, 생것",85,5.06,0.51,19.18,3.07
채소류,"꾸지뽕, 잎, 삶은것",61,3.93,0.51,13.15,0.98
채소류,"꾸지뽕, 잎, 말린것",282,18.25,1.4,63.3,12.44
채소류,"구기자, 순, 재래종, 생것",50,6.27,1.08,7.05,0.78
채소류,"구기자, 잎, 재래종, 생것",56,6.33,1.57,7.77,0.24
채소류,"국화꽃, 생것",25,1.4,0,6.5,-
채소류,"국화꽃, 데친것",21,1,0,5.7,-
채소류,"국화꽃, 말린것",283,11.6,0.2,73.5,-
채소류,"근대, 생것",18,1.78,0.2,3.28,0
채소류,"근대, 데친것",20,1.79,0.2,3.95,0
채소류,"김치, 갓김치",37,3.26,0.4,7.07,2.46
채소류,"김치, 고들빼기",68,2.84,0.66,12.58,4.12
채소류,"김치, 깍두기",40,1.36,0.21,8.27,3.22
채소류,"김치, 나박 김치",7,0.34,0.07,1.27,0.29
채소류,"김치, 동치미",8,0.33,0.01,1.77,0.62
채소류,"김치, 배추 김치",38,1.98,0.43,6.49,2.4
채소류,"김치, 배추 김치, 봄 재배 ",39,2.22,0.67,5.95,1.9
채소류,"김치, 배추 김치, 여름 재배",38,1.84,0.49,6.6,1.85
채소류,"김치, 배추 김치, 가을 재배",37,1.85,0.54,6.16,2.7
채소류,"김치, 백김치",16,0.95,0.07,3,1.04
채소류,"김치, 열무 김치",36,2.39,0.38,5.87,0.68
채소류,"김치, 열무 물김치",18,1.41,0.07,2.91,1.68
채소류,"김치, 오이 소박이",37,1.76,0.37,6.66,3.17
채소류,"김치, 유채 김치",62,3.5,0.8,10.1,-
채소류,"김치, 유채 물김치",17,1,0.1,3,-
채소류,"김치, 총각 김치",42,1.92,0.29,7.89,3
채소류,"김치, 파 김치",49,2.5,0.58,8.51,2.8
채소류,"김치, 얼갈이배추 김치",30,1.88,0.58,4.37,1.15
채소류,"꽃양배추(콜리플라워), 생것",27,2.17,0.48,4.84,2.28
채소류,"꽃양배추(콜리플라워), 데친것",26,2.4,0.47,4.62,2.42
채소류,"꿀풀(하고초), 생것",48,1.6,0.2,11.9,-
채소류,"꿀풀(하고초), 말린것",309,8.2,4,71.6,-
채소류,"날개콩, 미숙, 생것",36,1.9,0.2,6.5,-
채소류,"냉이, 생것",41,4.23,0.27,8.06,1.28
채소류,"냉이, 데친것",49,5.09,0.5,9.19,0
채소류,"누리장나무잎, 생것",65,4.5,1,12.7,-
채소류,"는쟁이냉이, 생것",28,2.5,0.3,5.4,-
채소류,"달래, 생것",28,1.9,0.22,6.1,1.46
채소류,"당귀, 일당귀, 잎, 생것",43,3.2,0.4,8.8,-
채소류,"당귀, 참당귀, 잎, 생것",39,2.6,0.7,7.4,-
채소류,"당근, 뿌리, 생것",31,1.02,0.13,7.03,6.23
채소류,"당근, 뿌리, 데친것",31,0.97,0.13,7.01,2.39
채소류,당근 주스,38,0.44,0.09,10.03,6.87
채소류,"당근 주스, 캔",40,0.95,0.15,9.28,3.91
채소류,"대나무순(죽순), 생것",24,3.48,0.22,3.77,1.11
채소류,"대나무순(죽순), 데친것",30,3.2,0.3,5.5,-
채소류,"대나무순(죽순), 삶은것",19,2.29,0.28,3.12,0.41
채소류,"대나무순(죽순), 삶아서 말린것",314,28.31,4.69,57.62,2.27
채소류,"대나무순(죽순), 통조림",22,2.7,0.2,4,-1.4
채소류,"더덕, 뿌리, 생것",80,2.28,0.76,17.58,4.86
채소류,"더덕, 뿌리, 구운것(팬)",86,3.45,0.74,18.17,6.61
채소류,"더덕, 뿌리, 가루",339,11.19,0.77,78.38,15.09
채소류,"도라지, 뿌리, 생것",65,2.01,0.15,15.15,1.14
채소류,"도라지, 뿌리, 데친것",58,1.75,0.15,13.42,0.61
채소류,"도라지, 뿌리, 말린것",330,10.33,0.89,76.44,5.78
채소류,"도라지, 뿌리, 가루",339,12.53,1.12,76.65,5.96
채소류,"돌나물, 생것",15,1.19,0.08,3.23,0
채소류,"동아, 생것",15,0.5,0.1,3.8,-
채소류,"동아, 데친것",15,0.6,0.1,3.7,-
채소류,"두릅, 땅두릅, 생것",25,2.4,0.22,4.79,0.81
채소류,"두릅, 땅두릅, 잎, 생것",43,4.3,0.3,8.5,-
채소류,"두릅, 땅두릅, 줄기, 생것",17,1.6,0.2,3.1,-
채소류,"두릅, 땅두릅, 데친것",24,2.3,0.25,4.56,1.08
채소류,"두릅, 땅두릅, 잎, 데친것",61,6.3,0.8,10.8,-
채소류,"두릅, 땅두릅, 줄기, 데친것",16,1.5,0.1,3.3,-
채소류,"두릅, 참두릅, 생것",33,4.13,0.22,5.89,0
채소류,"두릅, 참두릅, 잎, 생것",46,6.69,0.46,7.32,0.63
채소류,"두릅, 참두릅, 줄기, 생것",33,3.56,0.24,6.12,1
채소류,"두릅, 참두릅, 데친것",32,3.49,0.28,5.81,0
채소류,"두릅, 참두릅, 잎, 데친것",41,5.53,0.51,6.44,0
채소류,"두릅, 참두릅, 줄기, 데친것",28,2.81,0.28,5.24,0.48
채소류,"둥굴레, 잎, 생것",52,3.4,0.2,11.7,-
채소류,"둥굴레, 잎, 말린것",289,16.5,0.9,67.7,-
채소류,"들깨, 싹, 생것",17,1.7,0.1,2.5,-
채소류,"들깻잎, 생것",47,4.46,0.5,8.89,0
채소류,"들깻잎, 데친것",32,3.93,0.6,4.8,0
채소류,"들깻잎, 찐것",37,4.37,0.55,6.07,0
채소류,들깻잎장아찌,124,4.03,0.42,26,16.41
채소류,"들깻잎장아찌, 통조림",76,4.7,1.7,10.4,-
채소류,"루꼴라, 생것",26,3.17,0.43,4.2,0.97
채소류,"리크, 생것",54,1.8,0.3,13.2,-
채소류,"리크, 데친것",28,1.3,0.1,6.8,-2.6
채소류,"마늘, 생것",128,7.45,0.16,26.42,0.23
채소류,"마늘, 데친것",135,8.04,0.13,27.69,0.77
채소류,"마늘, 통마늘, 구운것",169,10.04,0.22,34.6,0.02
채소류,"마늘, 말린것",333,16.3,0.7,73.3,-
채소류,"마늘, 동결건조",330,15.3,0.5,73.7,-
채소류,"마늘, 난지형, 생것",128,7.03,0.12,26.61,0.47
채소류,"마늘, 난지형, 데친것",138,7.84,0.13,28.59,0
채소류,"마늘, 난지형, 통마늘, 구운것",147,8.29,0.17,30.42,0.03
채소류,"마늘, 난지형, 냉동",131,7.38,0.07,27.29,0.12
채소류,"마늘, 한지형, 생것",129,7.88,0.19,26.23,0
채소류,"마늘, 한지형, 데친것",132,8.25,0.14,26.78,1.55
채소류,"마늘, 한지형, 통마늘, 구운것",184,11.8,0.27,38.78,0
채소류,"마늘, 한지형, 볶은것",165,9.84,1.35,31.26,1.73
채소류,"마늘, 깐마늘, 수입산, 생것",120,6.99,0.99,22.78,2.26
채소류,"마늘, 깐마늘, 수입산, 데친것",127,6.74,1.21,24.27,2.4
채소류,"마늘, 다진것",99,5,0.27,20.55,2.11
채소류,마늘 장아찌,113,2.43,0.16,25.36,15.03
채소류,"마늘종, 꽃줄기, 생것",53,1.86,0.06,13.39,5.46
채소류,"마늘종, 꽃줄기, 데친것",59,1.98,0.17,14.82,2.74
채소류,마늘종 장아찌,118,1.96,0.14,27.34,13.02
채소류,"풋마늘, 잎줄기, 생것",29,1.9,0.17,7.33,4.01
채소류,"풋마늘, 잎줄기, 데친것",30,1.82,0.29,7.28,2.31
채소류,"마타리, 생것",45,2.1,0.1,10.9,-
채소류,"머위, 생것",17,2.31,0.14,2.74,0.07
채소류,"머위, 데친것",25,2.17,0.41,4.42,0.17
채소류,"머위, 삶은것",28,2.44,0.44,5.2,1.81
채소류,"머위, 말린것",281,17.4,3.7,58.2,-
채소류,"머위, 삶아서 말린것",278,26.73,4.67,48.62,1.85
채소류,"메밀, 싹, 생것",24,1.9,1.2,1.9,-
채소류,"모링가(드럼스틱), 생것",66,4.21,1.38,12.43,2.15
채소류,"모시풀, 잎, 생것",64,6.61,0.71,11.85,0
채소류,"모시풀, 잎, 삶은것",49,6.09,1.02,7.24,0
채소류,"모시풀, 잎, 서방종, 생것",51,4.4,1.36,8.13,1.13
채소류,"무, 왜무, 생것",15,0.5,0.1,4.1,2.7
채소류,"무, 조선무, 생것",20,0.67,0.12,4.34,1.79
채소류,"무, 조선무, 데친것",15,0.53,0.18,3.27,1.85
채소류,"무청, 왜무, 생것",22,2.3,0.7,2.9,-
채소류,"무청, 조선무, 생것",31,2.9,0.2,6.1,-
채소류,"무청, 시래기, 말린것, 삶은것",23,1.58,0.27,4.68,0
채소류,"무순, 싹, 생것",20,1.89,1.01,1.82,0.67
채소류,"무 절임, 단무지",12,0.36,0.05,2.42,0.55
채소류,"무 절임, 쌈무",15,0.54,0.03,3.1,1.46
채소류,"무 절임, 치킨무",22,0.44,0.21,4.89,3.54
채소류,"무말랭이, 말린것",318,13.59,0.3,65.34,19.91
채소류,무말랭이 무침,131,2.25,0.61,29.24,16.75
채소류,무국물,3,0.16,0,0.55,0.36
채소류,"물냉이, 생것",23,3.5,0.1,3.7,-
채소류,"물쑥, 생것",36,5.4,0.3,5.6,-
채소류,"물쑥, 데친것",47,1.9,0.1,11.7,-
채소류,"미나리, 돌미나리, 생것",21,2.2,0.2,3.8,-
채소류,"미나리, 돌미나리, 데친것",19,2.3,0.2,3.2,-
채소류,"미나리, 물미나리, 생것",22,1.81,0.25,4.45,2.69
채소류,"미나리, 물미나리, 데친것",25,2.04,0.32,4.82,1.64
채소류,"미나리, 물미나리, 잎, 생것",30,2.84,0.4,5.62,1.26
채소류,"미나리, 물미나리, 줄기, 생것",22,0.9,0.16,5.15,1.43
채소류,"미나리, 농축",120,0.36,0,33.48,28.49
채소류,"민들레, 생것",29,2.44,0.44,5.48,0
채소류,"민들레, 데친것",30,2.18,0.51,5.74,0
채소류,"바젤라, 생것",11,0.7,0.2,2.6,-
채소류,"바젤라, 데친것",12,0.9,0.2,3.2,-
채소류,"바질, 잎, 생것",32,2.43,0.71,5.56,0.8
채소류,"바질, 잎, 데친것",34,2.81,0.7,5.9,0.37
채소류,"박, 과육, 생것",21,0.5,0.1,5.2,-
채소류,"박, 생것, 씨 포함",32,1,0.1,8,-
채소류,"박고지, 말린것",268,7.6,0.4,69,-
채소류,"박쥐나무, 잎, 생것",100,6.7,1.2,20.7,-
채소류,"방가지똥, 생것",46,2.5,0.4,10.3,-
채소류,"방울다다기양배추, 생것",49,3.28,0.16,11.17,3.55
채소류,"방울다다기양배추, 데친것",51,5.3,0.1,9.8,-4.1
채소류,"배암차즈기(곰보배추), 잎, 생것",25,1.73,0.62,4.5,1.44
채소류,"배초향(방아), 잎, 생것",55,4.87,0.46,11.13,1.52
채소류,"배추, 싹, 생것",63,3.4,4.3,5.3,-
채소류,"배추, 생것",15,1.25,0.04,3.2,1.75
채소류,"배추, 봄 재배, 생것",13,1.61,0.07,2.28,0.94
채소류,"배추, 여름 재배, 생것",17,0.9,0.02,3.99,1.99
채소류,"배추, 가을 재배, 생것",15,1.25,0.05,3.35,2.33
채소류,"배추, 데친것",17,1.4,-,3.9,-
채소류,"배추, 삶은것",15,1.16,0.14,3.04,1.13
채소류,"배추, 봄 재배, 삶은것",14,1.39,0.12,2.61,0.85
채소류,"배추, 여름 재배, 삶은것",17,0.85,0.23,3.53,1.01
채소류,"배추, 가을 재배, 삶은것",14,1.25,0.06,2.94,1.55
채소류,"배추, 염절임",17,1.34,0.07,3.62,2.08
채소류,"배추, 봄 재배, 염절임",15,1.63,0.09,2.89,1.44
채소류,"배추, 여름 재배, 염절임",17,1.03,0.05,4.04,2.26
채소류,"배추, 가을 재배, 염절임",18,1.35,0.06,3.9,2.55
채소류,"배추, 노랑봄배추(노지), 생것",13,1,-,3,-
채소류,"배추, 노랑봄배추(노지), 데친것",17,1.2,-,3.9,-
채소류,"배추, 노랑봄배추(노지), 염절임",16,1.1,0.1,3.6,-
채소류,"배추, 노랑봄배추(하우스), 생것",12,1,0,2.6,-
채소류,"배추, 노랑봄배추(하우스), 데친것",15,1,-,3.4,-
채소류,"배추, 노랑봄배추(하우스), 염절임",15,1,-,3.4,-
채소류,"배추, 불암 3호(노지), 생것",23,0.9,0.1,5.7,-
채소류,"배추, 불암 3호(노지), 데친것",33,1.3,0.1,8.2,-
채소류,"배추, 불암 3호(노지), 염절임",30,1.2,0.1,7.4,-
채소류,"배추, 불암 3호(하우스), 생것",13,1,0.1,2.8,-
채소류,"배추, 불암 3호(하우스), 데친것",18,1.3,0.1,3.8,-
채소류,"배추, 불암 3호(하우스), 염절임",18,1.1,0.1,4,-
채소류,"배추, 시래기, 말린것",278,14.38,3.89,58.92,25.52
채소류,"배추, 시래기, 말린것, 삶은것",23,1.68,0.24,4.6,0.12
채소류,"배추, 유기재배, 생것",14,1.1,0,3.2,-
채소류,"배추, 봄동, 생것",23,2.02,0.17,4.78,2.45
채소류,"배추, 봄동, 데친것",22,1.84,0.18,4.54,2.01
채소류,"배추, 얼갈이배추, 생것",14,1.22,0.08,2.78,0.55
채소류,"배추, 얼갈이배추, 데친것",14,2,0.14,2.17,0.89
채소류,"배추, 얼갈이배추, 염절임",15,1.91,0.11,2.5,0.59
채소류,"백모근, 뿌리, 말린것",337,9,2,77,-
채소류,"백합, 뿌리, 생것",118,3.34,1.52,24.91,0.44
채소류,"보리, 순, 가루",314,26.6,4.8,58.5,-
채소류,"보리, 쌀보리, 순, 생것",24,2,0.3,4.6,-
채소류,"보리, 올보리, 순, 생것",66,3.1,1.1,13.9,-
채소류,"보리, 큰알보리, 순, 생것",24,2.91,0.27,3.99,0.52
채소류,"보리, 큰알보리, 순, 동결건조",283,28.3,3.39,51.96,2.83
채소류,"뽕잎, 생것",65,6.28,0.5,12.82,2.47
채소류,"뽕잎, 삶은것",48,4.86,0.53,9,0.41
채소류,"뽕잎, 삶아서 말린것",279,26.22,2.98,53.22,0
채소류,"뽕잎, 삶아서 말린것, 삶은것",51,5.9,0.55,8.92,0.1
채소류,"부지깽이(섬쑥부쟁이), 생것",30,3.65,0.43,4.9,1.21
채소류,"부지깽이(섬쑥부쟁이), 데친것",33,4,0.65,4.92,0.61
채소류,"부지깽이(섬쑥부쟁이), 말린것",258,25.7,2,50,-
채소류,"부지깽이(섬쑥부쟁이), 삶아서 말린것",296,25.09,2.88,59.07,5.2
채소류,"부지깽이(섬쑥부쟁이), 삶아서 말린것, 삶은것",48,5.17,0.68,8.24,0.38
채소류,"부추, 두메부추, 생것",46,1.2,0.1,11.9,-
채소류,"부추, 산부추, 생것",41,3.5,0.1,8.8,-
채소류,"부추, 솔부추, 생것",21,1.58,0.25,4.32,1.69
채소류,"부추, 솔부추, 데친것",24,1.53,0.35,4.81,1.69
채소류,"부추, 재래종, 생것",22,1.8,0.3,4.1,-
채소류,"부추, 재래종, 데친것",20,2.3,0.2,3.6,-
채소류,"부추, 호부추, 생것",30,2.06,0.33,6.23,2.86
채소류,"부추, 호부추, 데친것",32,2.37,0.35,6.42,2.39
채소류,"브로콜리, 생것",32,3.08,0.2,6.32,0.79
채소류,"브로콜리, 데친것",28,2.8,0.31,5.34,0.4
채소류,"브로콜리, 삶은것",30,3.9,0.4,5.2,1.2
채소류,"브로콜리, 싹, 생것",31,3.81,0.92,3.8,0.91
채소류,"브로콜리, 잎, 생것",38,2.2,0.4,8.1,-
채소류,"브로콜리, 잎, 말린것",258,15.4,2.8,55.3,-
채소류,"브로콜리, 잎, 삶아서 말린것",271,17.4,1.8,59.8,-
채소류,"브로콜리, 가루",284,17.5,3.9,58.4,-
채소류,"비비추(이밥추), 생것",48,3,0.6,10.1,-
채소류,"비타민채(다채), 생것",14,2.1,0.2,2,-
채소류,"비타민채(다채), 어린잎, 생것",15,2.26,0.5,1.44,0
채소류,"비트, 뿌리, 생것",26,1.56,0.14,5.26,2.87
채소류,"비트, 뿌리, 데친것",23,1.28,0.13,4.66,2.82
채소류,"비트 피클, 통조림",65,0.8,0.08,16.28,11.05
채소류,"비트, 잎, 생것",16,2.2,0.1,2.8,-
채소류,"비트, 잎, 데친것",15,2.3,0.2,2.2,-
채소류,"비트, 어린잎, 생것",21,2.85,0.42,2.91,0.15
채소류,"사탕무, 생것",77,1.8,0,18.7,-
채소류,"사탕수수, 생것",77,1.1,0,20.9,-
채소류,"산마늘(명이나물), 생것",36,2.02,0.21,8.21,3.8
채소류,"산마늘(명이나물), 데친것",37,2.08,0.31,8.29,2.99
채소류,산마늘(명이나물)장아찌,55,2.37,0.62,12.2,7.83
채소류,"삼나물, 말린것",293,22.8,2.2,61.3,-
채소류,"삼붕냐와, 생것",27,1.62,1.09,3.84,0.24
채소류,"삼채, 뿌리, 생것",49,0.77,0.04,12.15,3.21
채소류,"삼채, 잎, 생것",24,1.95,0.2,4.8,1.82
채소류,"삼채, 줄기, 생것",19,0.78,0.09,4.65,1.31
채소류,"삼채, 잎줄기, 생것",23,1.55,0.13,4.99,0.81
채소류,"삼채, 잎줄기, 데친것",28,2.04,0.27,5.77,0
채소류,"상추, 잎상추, 치마상추, 녹색, 생것",20,1.88,0.36,3.48,1.22
채소류,"상추, 잎상추, 적색, 생것",19,1.42,0.28,3.69,1.17
채소류,"상추, 잎상추, 뚝섬적축면, 적색, 생것",14,1.1,0.3,2.4,-
채소류,"상추, 잎상추, 롤로로사, 적색, 생것",20,1.1,0.2,4.5,-
채소류,"상추, 잎상추, 적하계, 적색, 생것",19,1.7,0.2,3.7,-
채소류,"상추, 잎상추, 축면상추, 적색, 생것",15,1.31,0.21,2.79,1.03
채소류,"상추, 잎상추, 치마상추, 적색, 생것",23,1.53,0.36,4.59,1.31
채소류,"상추, 반결구, 로메인, 녹색, 생것",18,1.66,0.31,3.11,0.5
채소류,"상추, 반결구, 로메인, 모스트청쌈, 녹색, 생것",15,1.6,0.3,2.36,0.5
채소류,"상추, 반결구, 버터헤드, 녹색, 생것",11,1.05,0.18,2.09,1.07
채소류,"상추, 반결구, 아시아아이스, 녹색, 생것",24,1.8,0.6,4,-
채소류,"상추, 반결구, 천상, 녹색, 생것",17,1.2,0.3,3.2,-
채소류,"상추, 반결구, 로메인, 적색, 생것",17,2.28,0.22,2.72,0.15
채소류,"상추, 결구(양상추), 녹색, 생것",16,0.94,0.09,3.66,1.96
채소류,"상추, 결구, 아담, 녹색, 생것",9,0.9,0.2,1.3,-
채소류,"상추, 결구, 유레이크, 녹색, 생것",16,0.8,0.2,3.5,-
채소류,"상추, 결구, 풍성, 녹색, 생것",10,0.6,0.1,2.1,-
채소류,"생강, 뿌리줄기, 생것",42,0.97,0.15,9.82,0.45
채소류,"생강, 뿌리줄기, 수입산, 생것",38,1.3,0.3,8.4,-
채소류,"생강, 편강, 당조림",364,0.7,0.86,88.35,19.9
채소류,생강 피클,15,0.3,0.2,3.9,-
채소류,"선인장, 보검선인장, 열매, 생것",83,0.97,0.19,19.35,2.53
채소류,"선인장, 보검선인장, 줄기, 생것",34,1.03,0.12,7.15,0.43
채소류,"선인장, 저단선인장, 열매, 생것",91,0.8,0.38,21,6
채소류,"선인장, 저단선인장, 줄기, 생것",75,0.75,0.15,17.76,0
채소류,"섬초롱, 생것",41,3,0.4,8.5,-
채소류,"섬초롱, 데친것",34,2,0.2,7.6,-
채소류,"셀러리, 생것",17,1.04,0.07,3.95,0
채소류,"셀러리, 데친것",17,1.1,0.12,3.81,0
채소류,"소리쟁이, 잎, 말린것",259,21.7,2.2,52.6,-
채소류,"쇠귀나물, 뿌리, 생것",128,6.3,0.1,26.6,-
채소류,"쇠귀나물, 뿌리, 데친것",129,6.2,0.1,27.2,-
채소류,"수리취(떡취), 생것",64,3.9,0.2,14.7,-
채소류,"숙주나물, 생것",13,1.73,0.05,2.34,0
채소류,"숙주나물, 데친것",12,2.2,0.2,1.4,-
채소류,"숙주나물, 찐것",16,1.96,0.11,2.9,0
채소류,"순무, 전체, 생것",27,1.5,0.09,5.65,1.93
채소류,"순무, 전체, 데친것",28,1.32,0.09,6.04,2.3
채소류,"순무, 뿌리, 생것",30,1.1,0.07,6.88,3.7
채소류,"순무, 뿌리, 데친것",33,1.28,0.09,7.51,2.98
채소류,"순무, 뿌리, 염절임",21,1,0.2,4.9,-
채소류,"순무, 잎, 생것",21,2.05,0.17,4.14,0.12
채소류,"순무, 잎, 데친것",20,1.58,0.18,4.17,0
채소류,"순무, 잎, 염절임",27,2.3,0.2,6,-
채소류,"스테비아, 생것",40,2.4,0.32,8.71,0
채소류,"스테비아, 말린것",303,14.2,2,70.5,-
채소류,"시금치, 생것",29,3.35,0.39,4.86,0.4
채소류,"시금치, 노지, 생것",29,4.15,0.43,4.4,0
채소류,"시금치, 하우스, 생것",27,2.6,0.33,5.08,1.6
채소류,"시금치, 섬초, 생것",24,3.11,0.34,3.76,0
채소류,"시금치, 포항초, 생것",35,3.56,0.46,6.22,0
채소류,"시금치, 데친것",34,4.02,0.61,5.26,0.16
채소류,"시금치, 노지, 데친것",37,4.78,0.79,5.21,0
채소류,"시금치, 하우스, 데친것",32,3.01,0.49,5.84,0.63
채소류,"시금치, 섬초, 데친것",32,4.12,0.55,4.8,0
채소류,"시금치, 포항초, 데친것",34,4.19,0.63,5.19,0
채소류,"신선초(명일엽), 생것",24,1.08,0.14,5.66,1.95
채소류,"쌈추, 생것",25,3.07,0.23,4.29,0
채소류,"쌈추, 싸미나, 생것",20,2.7,0.3,3,-
