식품군,식품명,에너지,단백질,지방 ,탄수화물,당류
,,kcal,g,g,g,g
곡류 및 그 제품,"멥쌀, 백미, 밥",146,2.65,0.33,31.71,0.01
곡류 및 그 제품,"멥쌀, 백미, 고시히카리, 밥",147,2.56,0.47,31.62,0
곡류 및 그 제품,"멥쌀, 백미, 농림나1호, 밥",213,2.2,0.1,48.5,-
곡류 및 그 제품,"멥쌀, 백미, 밭벼, 밥",157,3.5,0.3,36.1,-0.1
곡류 및 그 제품,"멥쌀, 백미, 삼광, 밥",146,2.52,0.33,31.71,0
곡류 및 그 제품,"멥쌀, 백미, 새일미, 밥",142,2.67,0.25,30.69,0
곡류 및 그 제품,"멥쌀, 백미, 새추청벼, 밥",153,2.5,0.1,33.8,-
곡류 및 그 제품,"멥쌀, 백미, 수라벼, 밥",159,2.4,-,35.7,-
곡류 및 그 제품,"멥쌀, 백미, 신동진, 밥",147,2.53,0.28,32.17,0
곡류 및 그 제품,"멥쌀, 백미, 안남미, 장립종, 밥",156,3.04,0.41,33.4,0
곡류 및 그 제품,"멥쌀, 백미, 오대, 밥",151,2.85,0.44,32.28,0.04
곡류 및 그 제품,"멥쌀, 백미, 일품벼, 밥",156,2.6,0.1,34.6,-
곡류 및 그 제품,"멥쌀, 백미, 추청벼, 밥",152,2.59,0.34,33,0
곡류 및 그 제품,"멥쌀, 백미, 죽",53,0.99,0.15,11.45,0
곡류 및 그 제품,"멥쌀, 백미, 삼광, 죽",53,0.89,0.1,11.51,0
곡류 및 그 제품,"멥쌀, 백미, 새일미, 죽",55,1.09,0.17,11.72,0
곡류 및 그 제품,"멥쌀, 백미, 신동진, 죽",53,0.96,0.15,11.42,0
곡류 및 그 제품,"멥쌀, 백미, 오대, 죽",52,1.02,0.18,11.16,0
곡류 및 그 제품,"멥쌀, 백미, 미음",19,-0.3,0,-4.7,0
곡류 및 그 제품,"멥쌀, 백미, 가루",378,7.24,1.07,81.07,0.22
곡류 및 그 제품,"멥쌀, 칠분도미, 생것",348,6.3,1.5,76.6,0.3
곡류 및 그 제품,"멥쌀, 칠분도미, 농림나1호, 생것",370,5.6,1.9,79.2,-
곡류 및 그 제품,"멥쌀, 칠분도미, 밭벼, 생것",359,9.5,1.5,73.4,-0.3
곡류 및 그 제품,"멥쌀, 칠분도미, 밥",160,2.6,0.5,36.7,0.2
곡류 및 그 제품,"멥쌀, 칠분도미, 농림나1호, 밥",205,2.5,0.2,46.2,-
곡류 및 그 제품,"멥쌀, 칠분도미, 밭벼, 밥",155,3.6,0.5,35.7,-0.2
곡류 및 그 제품,"멥쌀, 칠분도미, 죽",68,-1.1,-0.2,-15.6,-0.1
곡류 및 그 제품,"멥쌀, 칠분도미, 미음",20,-0.3,-0.1,-4.6,0
곡류 및 그 제품,"멥쌀, 현미, 생것",357,7.33,2.23,75.92,1.18
곡류 및 그 제품,"멥쌀, 현미, 고아미2호, 생것",359,9.17,4.11,71,3.17
곡류 및 그 제품,"멥쌀, 현미, 골든퀸3호, 생것",357,6.16,2.01,77.26,0.5
곡류 및 그 제품,"멥쌀, 현미, 금강1호, 생것",365,7.08,2.72,77.11,0.57
곡류 및 그 제품,"멥쌀, 현미, 남찬, 생것",355,7.25,2.31,75.26,0.89
곡류 및 그 제품,"멥쌀, 현미, 농림나1호, 생것",371,5.8,4.8,75.3,-
곡류 및 그 제품,"멥쌀, 현미, 도담쌀, 생것",356,7.73,2.85,74.15,1.26
곡류 및 그 제품,"멥쌀, 현미, 미품, 생것",348,8.41,2.07,73.3,0.83
곡류 및 그 제품,"멥쌀, 현미, 바로미2, 생것",372,8.61,5.13,72.53,4.14
곡류 및 그 제품,"멥쌀, 현미, 보람찬, 생것",355,7.42,2.01,75.74,1.07
곡류 및 그 제품,"멥쌀, 현미, 삼광, 생것",358,6.88,2,76.98,0.92
곡류 및 그 제품,"멥쌀, 현미, 새일미, 생것",357,7.6,2.12,76,1
곡류 및 그 제품,"멥쌀, 현미, 설갱, 생것",356,7.53,2.34,75.36,1.3
곡류 및 그 제품,"멥쌀, 현미, 신동진, 생것",350,6.69,1.98,75.24,0.76
곡류 및 그 제품,"멥쌀, 현미, 알찬미, 생것",365,6.91,2.34,78.09,1.41
곡류 및 그 제품,"멥쌀, 현미, 영호진미, 생것",363,6.21,2.32,78.1,1.28
곡류 및 그 제품,"멥쌀, 현미, 예찬, 생것",356,7.23,2.47,75.25,1.81
곡류 및 그 제품,"멥쌀, 현미, 오대, 생것",363,8.07,2.31,76.53,1.27
곡류 및 그 제품,"멥쌀, 현미, 운광, 생것",355,6.52,2.28,75.94,1.12
곡류 및 그 제품,"멥쌀, 현미, 일미벼, 생것",354,9,1,76.2,-
곡류 및 그 제품,"멥쌀, 현미, 일품, 생것",357,7,2.18,76.37,1.13
곡류 및 그 제품,"멥쌀, 현미, 추청벼, 생것",362,6.4,2.7,76.9,-
곡류 및 그 제품,"멥쌀, 현미, 친들, 생것",353,6.97,1.98,75.8,1.57
곡류 및 그 제품,"멥쌀, 현미, 큰눈벼, 생것",371,7.3,3,77.9,-
곡류 및 그 제품,"멥쌀, 현미, 통일벼, 생것",362,8.9,1.6,77.2,-
곡류 및 그 제품,"멥쌀, 현미, 팔방미, 생것",358,9.12,2.65,73.74,0.47
곡류 및 그 제품,"멥쌀, 현미, 하이아미, 생것",360,7.41,2.6,75.73,1.15
곡류 및 그 제품,"멥쌀, 현미, 한가루, 생것",361,7.92,2.2,76.38,2.15
곡류 및 그 제품,"멥쌀, 현미, 한아름4호, 생것",363,7.56,2.2,77.23,1.53
곡류 및 그 제품,"멥쌀, 현미, 해담쌀, 생것",366,7.42,2.44,77.58,1.68
곡류 및 그 제품,"멥쌀, 현미, 해들, 생것",356,8.06,2.34,74.99,1.24
곡류 및 그 제품,"멥쌀, 현미, 해품, 생것",349,8.71,1.88,73.53,0.86
곡류 및 그 제품,"멥쌀, 현미, 호품벼, 생것",343,6.3,1.94,73.94,0.33
곡류 및 그 제품,"멥쌀, 현미, 발아현미, 생것",384,7.22,2.88,81.18,0.76
곡류 및 그 제품,"멥쌀, 현미, 적진주, 생것",360,7.47,2.48,76.01,1.81
곡류 및 그 제품,"멥쌀, 현미, 흑미, 생것",357,7.7,2.21,75.56,0.94
곡류 및 그 제품,"멥쌀, 현미, 흑진미, 생것",357,7.82,2.11,75.82,1.22
곡류 및 그 제품,"멥쌀, 현미, 흑진주벼, 생것",369,7.9,2.6,77.7,-
곡류 및 그 제품,"멥쌀, 현미, 밥",166,3.47,0.96,35.34,0.4
곡류 및 그 제품,"멥쌀, 현미, 농림나1호, 밥",201,2.8,0.2,46.1,-
곡류 및 그 제품,"멥쌀, 현미, 밭벼, 밥",156,4.1,1,34.3,-1.1
곡류 및 그 제품,"멥쌀, 현미, 삼광, 밥",165,3.5,1.15,34.83,0.38
곡류 및 그 제품,"멥쌀, 현미, 새일미, 밥",172,3.43,1.08,36.67,0.41
곡류 및 그 제품,"멥쌀, 현미, 신동진, 밥",160,3.15,0.76,34.57,0.26
곡류 및 그 제품,"멥쌀, 현미, 오대, 밥",166,3.81,0.87,35.29,0.53
곡류 및 그 제품,"멥쌀, 현미, 발아현미, 밥",178,4.05,1.38,37.02,0.38
곡류 및 그 제품,"멥쌀, 현미, 흑진미, 밥",174,3.98,1.01,36.83,0.5
곡류 및 그 제품,"멥쌀, 현미, 죽",64,-1.2,-0.4,-15.2,-0.4
곡류 및 그 제품,"멥쌀, 현미, 미음",19,-0.4,-0.1,-4.4,-0.1
곡류 및 그 제품,"멥쌀밥, 쪄서 말린것",373,5.2,0.1,83.7,-
곡류 및 그 제품,누룽지,414,8,1.1,88.8,0.11
곡류 및 그 제품,"누룽지, 끓인것",53,1.03,0.27,11.06,0
곡류 및 그 제품,"누룽지, 끓인것, 밥알",115,2.21,0.4,24.55,0
곡류 및 그 제품,"누룽지, 끓인것, 국물",3,0.02,0.1,0.53,0
곡류 및 그 제품,"즉석밥, 누룽지",415,6.64,0.84,90.96,0.24
곡류 및 그 제품,"즉석밥, 누룽지, 끓는물 부음",69,1.32,0.1,15.08,0.04
곡류 및 그 제품,"즉석밥, 백미",152,2.11,0.28,33.59,1.04
곡류 및 그 제품,"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",150,2.83,0.38,33.76,0.03
곡류 및 그 제품,"멥쌀 과자, 떡, 팽화",404,7.22,1.01,87.29,0.1
곡류 및 그 제품,"멥쌀 과자, 쌀엿강정, 팽화",395,4.11,2.13,89.95,29.97
곡류 및 그 제품,"멥쌀 과자, 단맛",467,6.73,15.07,75.99,10
곡류 및 그 제품,"멥쌀 과자, 짠맛",471,5.01,15.97,76.93,8.64
